char.no,Category,name,states,Martin's.notes,neomorphic.transformational,larval.adult,body.region
130,Sclerites,Composition: Incorporation of sedimentary particles,0=absent; 1=present,Phoronids and Yuganotheca aggulutinate particles into their sclerites.,neomorphic,Adult,Shell
131,Sclerites,Composition: Periostracum: Flexibility,1=flexible; 2=inflexible,Following character 9 in Williams et al. (1998T); see their p228-230 for a discussion of how this might be inferred from fossil material.,transformational,Adult,Shell
132,Sclerites,Composition: Microstructure: Number of distinct layers,1=single microstructural layer; 2=two microstructurally differentiated layers; 3=inner and outer laminae enclosing medial void; 4=three microstructurally differentiated layers,"Hyolith conchs comprise two mineralized layers of fibrous bundles.  Bundles are measure 5-15 um across; their constituent fibres are each 0.1-1.0 um wide.  In the inner layer, the fibres are transverse; in the outer layer, the bundles are inclined towards the umbo, becoming longitudinal on the outermost margin. Coded as non-additive as there is no clear necessity to add layers sequentially: for example, three layers could arise by the addition of a void within a single pre-existing layer. Stratiform laminae, shell-penetrating canals and other features above the scale of crystal organization are not considered as contributing to the mineralogical microstructure and are coded separately. Inapplicable in taxa with a non-mineralized shell.",transformational,Adult,Shell
133,Sclerites,Composition: Microstructure: Format,1=Laminated; 2=Fibrous bundles; 3=Nacreous/crossed lamellar,"Hyolith conchs comprise two mineralized layers of fibrous bundles.  Bundles measure 5--15 &mu;m across; their constituent fibres are each 0.1-1.0 um wide.  In the inner layer, the fibres are transverse; in the outer layer, the bundles are inclined towards the umbo, becoming longitudinal on the outermost margin. Stratiform laminae, shell-penetrating canals and other features above the scale of crystal organization are not considered as contributing to the mineralogical microstructure and are coded separately. The pervasive (not just superficial) polygonal structures in Paterimitra are distinct, and characterize Askepasma, Salanygolina, Eccentrotheca and Paterimitra (Larsson et al. 2014) Williams et al. (2000) identify cross-bladed laminae as diagnostic of Strophomenata, with the exception of some older groups that contain fibres or laminar laths.",transformational,Adult,Shell
134,Sclerites,Structure: Stratiform lamellae expressed at surface,1=Lamellae not expressed at surface; 2=Lamellae correspond to external shell ornament,"In tommotiids, the shell simply comprises a stack of stratiform lamellae, each corresponding to a circumferential rib at the shell surface.  This is particularly apparent in Dailyatia [@Skovsted2015Theearly] and Paterimitra [@Larsson2014iPaterimitra].",transformational,Adult,Shell
135,Sclerites,Structure: Stratiform laminae separated,1=contiguous stratified layer; 2=laminae separated by organic layers or voids,"Laminae within, for example, Salanygolina are separated by voids that may originally have contained organic material [e.g. @Holmer2009Theenigmatic]. In contrast, tommotiids and paterinids exhibit stratification without voids, perhaps representing periodic fluctuations in phosphate availability [@Balthasar2009Homologousskeletal].",transformational,Adult,Shell
136,Sclerites,Structure: Stratiform laminae with polygonal ornament,0=absent; 1=present,"See character 37 in @Williams1998Thediversity.   ""A distinct primary layer [...] is characterized by a polygonal ornament that is mineralized from the polygon walls inward, while the rest of the shell and/or sclerite is secreted by basal accretion"" -- @Balthasar2009Homologousskeletal.  Distinguished from epithelial cell moulds in lingulids, which do not form an integral part of the shell structure [@Balthasar2009Homologousskeletal]. Treated as transformational as ancestral condition is ambiguous.",neomorphic,Adult,Shell
137,Sclerites,Structure: Canals,0=absent; 1=present,"A caniculate microstructure occurs in lingulids; canals are narrower (&lt; 1 um) than punctae, may branch, and do not fully penetrate the shell, terminating just within the boundaries of a microstructural layer. See Williams 1997, p303ff, and Balthasar 2008, p273, for discussion. Tubules described in hyoliths by Kouchinsky (2000) measure around 10 um in diameter, making them an order of magnitude wider than lingulid canals.   This said, Balthasar (2008) considers the rod-like tubules within the columnar shell microstructure of Mickwitzia cf. occidens (1-3 um wide, Skovsted & Holmer 2003), acrotretides (1 um wide, see Holmer 1989, Zhang et al. 2016) and lingulellotretids (100 nm wide, Cusack et al 1999) as equivalent to lingulid canals. Micrina exhibits both punctae and canals (Harper et al. 2017), challenging Carlson's contention (in Williams et al. 2007) that the structures are potentially homologous as shell perforations.",neomorphic,Adult,Shell
138,Sclerites,Structure: Punctae,0=absent; 1=present,"Punctae are 10-20 um wide canals created by multicellular extensions of the outer epithelium.  They penetrate the full depth of the shell. Balthasar (2008) writes: ""Vertical shell penetrating structures, such as punctae, pseudopunctae, extropunctae and canals, are common in many groups of brachiopods and are distinguished based on their geometry and size (Williams 1997). Punctae are 10-20 um wide and represent multicellular extensions of the outer epithelium (Owen and Williams 1969). Pseudopunctae and extropunctae are similar in diameter but, instead of canals, are vertical stacks of conical deflections of individual shell layers (Williams and Brunton 1993). None of these three types of vertical shell structure, all of which are confined to calcitic-shelled brachiopods, compares with the much smaller canals (&lt; 1 um in diameter) of M. nuda. The only type of vertical structure that fits the size and nature of the canals of the Mural obolellids are the canals of linguliform brachiopods, which range in width from 180 to 740 nm and are occupied by proteinaceous strands in extant taxa (Williams et al. 1992; Williams et al. 1994; Williams et al. 1997). In contrast to obolellid canals, however, linguliform canals are not known to penetrate the entire shell but terminate in organic-rich layers (Williams 1997). Based on these considerations it would, therefore, be misleading to call obolellid shells punctate (they are as much ""punctate"" as acrotretids or other linguliforms); rather their shell structure should be called canaliculate (Williams 1997).""",neomorphic,Adult,Shell
139,Sclerites,Structure: Pseudopunctae,0=absent; 1=present,"Pseudopunctae are not punctae, but deflections of shell laminae.  They characterise Strophomenata in particular.",neomorphic,Adult,Shell
140,Sclerites,Structure: External polygonal ornament,0=absent; 1=present,"Regular polygonal compartments, around 10 um in diameter, characterise Paterimitra.  Walls between compartments have the cross-section of an anvil. An external polygonal structure (possible imprints of epithelial tissue) occurs in Dailyatia, but it is a surface pattern, which is different from the polygonal prisms in the body wall of other paterinid-like groups.",neomorphic,Adult,Shell
141,Gametes,Gonocoel,0=absent; 1=retroperineal gonads,Character 27 in @Haszprunar1996,neomorphic,Adult,Reproductive
142,Gametes,Ovary wall saccular,0=plain; 1=saccular,After character 31 in @Haszprunar1996.,neomorphic,Adult,Reproductive
143,Gametes,Testis wall saccular,0=plain; 1=saccular,After character 31 in @Haszprunar1996.,neomorphic,Adult,Reproductive
144,Gametes,Asexual reproduction,0=never exhibited; 1=frequently exhibited,After character 30 in @Haszprunar1996.,neomorphic,Adult,Reproductive
145,Gametes,Sexes,1=Gonochoristic; 2=Hermaphroditic,After characters 1.61 and 2.54 in @SPS1996,transformational,Adult,Reproductive
146,Gametes,Fertilization,1=External; 2=Internal,After character 62 in @Haszprunar2000.,transformational,Adult,Reproductive
147,Gametes,Egg: Size,"1=small: <100um, little yolk; 2=Large: >110um, much yolk","Following Carlson (1995), character 7.  This character is only possible to code in extant taxa.  It is not considered independent of Carlson's character 11, number of gametes released per spawning, as it is possible to produce more small eggs than large eggs -- thus this latter character is not reproduced in the present study.  The same goes for Carlson's character 12, gamete dispersal mode; brooders will tend to brood large eggs.",transformational,Adult,Reproductive
148,Gametes,Egg: Protective membrane,0=absent; 1=present,After character 4.69 in @SPS1996,neomorphic,Adult,Reproductive
149,Gametes,Egg: Site of Maturation,1=body cavity; 2=mantle canals; 3=ovicell,"After Carlson (1995), character 9. Only possible to code in extant taxa.",transformational,Adult,Reproductive
150,Gametes,Spermatozoa: Nucleus: Shape,0=equant: length comparable to width; 1=elongate: length exaggerated relative to width,After character 41 in @Ponder1997,neomorphic,Adult,Reproductive
151,Gametes,Spermatozoa: Anterior nuclear fossa,0=absent; 1=present,"Following @Smith2012, after character 160 in @Giribet2002. A fossa (latin: ditch) is a dent or impression.",neomorphic,Adult,Reproductive
152,Gametes,Spermatozoa: Acrosome: Shape,1=pear-shaped; 2=needle-shaped; 3=disc-shaped; 4=conical,,transformational,Adult,Reproductive
153,Gametes,Spermatozoa: Acrosome: Differentiated internally,0=No internal differentiation; 1=Acrosome differentiated internally,"Hodgson & Reunov 1994 describe the Discinisca acrosome as having ""an electron-lucent centre and an electron-dense outer region"", and state that this trait is characteristic of inarticulate brachiopods.",neomorphic,Adult,Reproductive
154,Gametes,Spermatozoa: Acrosome: Sub-acrosomal space,0=absent; 1=present,,neomorphic,Adult,Reproductive
155,Gametes,Spermatozoa: Mid-piece,0=multiple mitochondria; 1=single ring-shaped mitochondrion,Following Hodgson & Reunov (1994),neomorphic,Adult,Reproductive
156,Gametes,Spermatozoa: Centrioles: Orientation,0=orthogonal; 1=parallel,Following Hodgson & Reunov 1994.,neomorphic,Adult,Reproductive
157,Gametes,Spermatozoa: Centrioles: Fusion,0=discrete; 1=fused,Following @Smith2012; see @BucklandNicks2008,neomorphic,Adult,Reproductive
158,Gametes,Spermatozoa: Satellite fibre complex,0=Annulus not associated with satellite fibres; 1=annulus associated with satellite fibres,"Following @Smith2012, after character 48 in @Ponder1997.",neomorphic,Adult,Reproductive
159,Gametes,Spermatozoa: Mitochondria: Shape,"1=spherical to subspherical; 2=rods; 3=elongate, sac-like",After character 5 in @BucklandNicks2008; see also character 43 in @Ponder1997.,transformational,Adult,Reproductive
160,Gametes,Spermatozoa: Mitochondria: Cristae: Configuration,0=unmodified; 1=arranged in parallel plates,fter character 44 in @Ponder1997.  Cristae are internal compartments formed by inner mitochondrial membranes.,neomorphic,Adult,Reproductive
161,Gametes,Spermatozoa: Mitochondria: Midpiece,1=extremely short; 2=long; 3=forms continuous sheath,After @Smith2012; see also character 43 in @Ponder1997; character 164 in @Giribet2002,transformational,Adult,Reproductive
162,Embryo,Micromere size,1=similar to macromeres; 2=small relative to macromeres,"Following @Hejnol2010.  Blastomeres may undergo significant size differentiation, generating macromeres and micromeres of prominently different sizes.",transformational,Juvenile,Body.organization
163,Embryo,Cleavage: Equal,1=unequal; 2=equal,Following character 170 in @Giribet2002,transformational,Juvenile,Body.organization
164,Embryo,Cleavage: Cross-pattern,"0=absent; 1=cross, whether ""molluscan"" or ""annelid""","The ""molluscan cross"" and ""annelid cross"" cannot be systematically discriminated from one another, so are treated as a single state.   See characters 127 & 128 in @Rouse1999; 1.49 in @SPS1996; character 34 in @Haszprunar1996; 35 in @Haszprunar2000; 172 in @Giribet2002.",neomorphic,Juvenile,Body.organization
165,Embryo,Cleavage: Polar lobe formation,1=absent; 2=present,Following character 171 in @Giribet2002,transformational,Juvenile,Body.organization
166,Embryo,Cleavage: Spiral,1=absent; 2=present,See characters 32-33 in @Haszprunar1996; character 1.48 in @SPS1996; character 29 in @Glenner2004.,transformational,Juvenile,Body.organization
167,Embryo,Origin of mesoderm,"1=4d cell, from the blastopore ridge, or as ectomesoderm; 2=archenteron",After characters 32 in @Grobe2007 and 36-37 in @Glenner2004,transformational,Juvenile,Body.organization
168,Larva ,Apical organ: Muscles extending to the hyposphere,0=absent; 1=present,Character 8 in @Vinther2008,neomorphic,Juvenile,Body.organization
169,Larva ,Apical Organ: Serotonergic cells,1=two flask-shaped cells; 2=four flask-shaped cells; 3=cluster of c. eight flask-shaped cells; 4=aggregation of multiple cells of multiple types,Character 8 in @Haszprunar2008.,transformational,Juvenile,Sensory
170,Larva ,Apical organ: Develops into adult brain,1=brain has other origin; 2=adult brain derived from larval apical organ/apical pole,Character 79 in @Glenner2004,transformational,Juvenile,Sensory
171,Larva ,Brain persists into adulthood,1=brain lost; 2=brain retained to adulthood,After character 3 in @Richter2010,transformational,Juvenile,Sensory
172,Larva ,Origin of body cavity,1=mesenchyme; 2=coelom,Character 1.43 in@SPS1996,transformational,Juvenile,Body.organization
173,Larva ,Formation of coelomoducts,1=outgrowth; 2=ingrowth,Character 26 in @Haszprunar2000,transformational,Juvenile,Body.organization
174,Larva ,Foot,0=absent; 1=present,"Foot or neurotroch present in larval stage, whether or not it is also present in mature individuals. Following @Wingstrand1985.",neomorphic,Juvenile,Pedicle
175,Larva ,Foot: Pedal gland,0=absent; 1=present,A pedal gland is considered evidence for homology between the molluscan and entoproct foot [@Haszprunar2008].,neomorphic,Juvenile,Pedicle
176,Larva ,Coelom: Paired,0=absent; 1=paired coelom originating from two teloblasts derived from 4d,Character 2.02 in @Scheltema1993,neomorphic,Juvenile,Body.organization
177,Larva ,Coelom: Paired: Includes pericardium,0=paired coelom absent; or does not include pericardium; 1=paired coelom includes pericardium,Character 1.03 in @Scheltema1993,neomorphic,Juvenile,Body.organization
178,Larva ,Feeding,1=lecithotrophic (or otherwise non-feeding); 2=Planktotrophic (or otherwise feeding),Character 140 in @Rouse1999. See also character 2.66 in @SPS1996; 153 in @Giribet2002.,transformational,Juvenile,Feeding.and.Digestion
179,Larva ,Cilia: Metatroch,0=absent; 1=present,See characters 129 and 131 in @Rouse1999; 40 in @Haszprunar1996. A prototroch is the defining character of a trochophore larva; a metatroch is a secondary ciliary ring [@Rouse1999].,neomorphic,Juvenile,Feeding.and.Digestion
180,Larva ,Cilia: Telotroch,0=absent; 1=present,A posterior ciliary band. Character 136 in @Rouse1999.,neomorphic,Juvenile,Feeding.and.Digestion
181,Larva ,Cilia: Ciliated food groove,0=absent; 1=present,Character 132 in @Rouse1999,neomorphic,Juvenile,Feeding.and.Digestion
182,Larva ,Cilia: Ciliary bands: Downstream,0=absent; 1=present,Downstream-collecting ciliary bands of compound cilia on multiciliated cells. See character 32 in @Glenner2004.,neomorphic,Juvenile,Feeding.and.Digestion
183,Larva ,Cilia: Ciliary bands: Upstream,0=absent; 1=present,Upstream-collecting ciliary bands with single cilia on monociliated cells. See character 32 in @Glenner2004.,neomorphic,Juvenile,Feeding.and.Digestion
184,Larva ,Cilia: Adoral ciliary band,0=absent; 1=present,"Characters 1.50, 2.66 and 4.68 in @SPS1996; 2 in @Vinther2008.  See also characters 39 in @Haszprunar1996 and 153 in @Giribet2002.",neomorphic,Juvenile,Feeding.and.Digestion
185,Larva ,Cilia: Nerve ring underlying ciliated larval swimming organ,0=absent; 1=present,Following @Wanninger2009,neomorphic,Juvenile,Feeding.and.Digestion
186,Ciliary ultrastructure,Accessory centriole,0=absent; 1=present,After @Lundin2009,neomorphic,Adult,Feeding.and.Digestion
187,Ciliary ultrastructure,Aggregation of granules below basal plate,0=absent; 1=present,After @Lundin2009,neomorphic,Adult,Feeding.and.Digestion
188,Ciliary ultrastructure,Basal foot: Radiating tubular fibres,0=absent; 1=present,After @Lundin2009. Fibres radiate from the distal end of the basal foot of the cilia in certain taxa.,neomorphic,Adult,Feeding.and.Digestion
189,Ciliary ultrastructure,Basal plate,1=thin; 2=blurry,"After @Lundin2009.  Also termed ""dense plate"".",transformational,Adult,Feeding.and.Digestion
190,Ciliary ultrastructure,Brushborder of microvilli,0=absent; 1=present,After @Lundin2009; coded following @Smith2012,neomorphic,Adult,Feeding.and.Digestion
191,Ciliary ultrastructure,Centriolar triplet derivative in basal body,1= 9+1 pattern; 2= 9+3 pattern,After @Lundin2009,transformational,Adult,Feeding.and.Digestion
192,Ciliary ultrastructure,Ciliary necklace with connecting strands,0=absent; 1=present,"After @Lundin2009. The ciliary necklace is defined by @Gilula1972 as ""Well-defined rows or strands of membrane particles that encircle the ciliary shaft"".  It occurs immediately below the basal plate, and comprises three beaded circles of on the circumference of the cilia membrane.",neomorphic,Adult,Feeding.and.Digestion
193,Ciliary ultrastructure,Compound cilia: Presence,0=absent; 1=present,After @Lundin2009. Compound cilia are motile structures composed of 10--100 regular cilia used in locomotion or feeding,neomorphic,Adult,Feeding.and.Digestion
194,Ciliary ultrastructure,Compound cilia: Origin,1=several monociliate cells; 2=on multiciliated cells,"Character 14 in @Glenner2004.  Compound cilia can be produced by the aggregation of cilia from multiple monociliate cells, or from a single cell bearing multiple cilia [@Nielsen1987].",transformational,Adult,Feeding.and.Digestion
195,Ciliary ultrastructure,Glycocalyx ultrastructure,1=homogeneous; 2=layered,After @Lundin2009,transformational,Adult,Feeding.and.Digestion
196,Ciliary ultrastructure,Microvilli on epidermal surface: Branched,0=unbranched; 1=branched,After @Lundin2009,neomorphic,Adult,Feeding.and.Digestion
197,Ciliary ultrastructure,Vertical ciliary rootlet: Length,1=short; 2=long,After @Lundin2009.  The vertical ciliary rootlet is also termed the posterior rootlet.,transformational,Adult,Feeding.and.Digestion
198,Ciliary ultrastructure,Vertical ciliary rootlet: Shape,1=conical; 2=flat,After @Lundin2009.  The vertical ciliary rootlet is also termed the posterior rootlet.,transformational,Adult,Feeding.and.Digestion
199,Ciliary ultrastructure,Secondary ciliary rootlet: Presence,0=absent; 1=present,After @Lundin2009.  The secondary ciliary rootlet is also termed the anterior ciliary rootlet.,neomorphic,Adult,Feeding.and.Digestion
200,Ciliary ultrastructure,Secondary ciliary rootlet: Length,1=short; 2=long,After @Lundin2009.  The secondary ciliary rootlet is also termed the anterior ciliary rootlet.,transformational,Adult,Feeding.and.Digestion
201,Ciliary ultrastructure,Secondary ciliary rootlet: Shape,1=conical; 2=flat,After @Lundin2009.  The secondary ciliary rootlet is also termed the anterior ciliary rootlet.,transformational,Adult,Feeding.and.Digestion
202,Nephridia,Podocytes,0=absent; 1=present,See characters 21 and 28 in @Haszprunar2000; 1.12 in @Scheltema1993,neomorphic,Adult,Feeding.and.Digestion
203,Nephridia,Rhogocytes,0=absent; 1=present,Pore cells.  Character 20 in @Haszprunar2000.,neomorphic,Adult,Feeding.and.Digestion
204,Nephridia,Serve as excretory organs,0=no; 1=yes,See character 4.46 in @SPS1996.,neomorphic,Adult,Feeding.and.Digestion
205,Nephridia,Protonephridia,0=absent; 1=present,Also termed cyrtocytes.  Character 21 in @Grobe2007; 1.47 in @SPS1996; 138 in @Rouse1999; 20 in @Haszprunar1996; 90 in @Glenner2004,neomorphic,Adult,Feeding.and.Digestion
206,Nephridia,Metanephridia,0=absent; 1=present,See characters 35 in @Rouse1999; 28 in @Haszprunar2000; 93 in @Glenner2004; 1.47 in @SPS1996; 21 in @Grobe2007; 138 in @Rouse1999; 20 in @Haszprunar1996.,neomorphic,Adult,Feeding.and.Digestion
207,Cuticle,Layers,0=simple (i.e. glycocalyx); 1=distinct epicuticle and endocuticle,Character 1 in @Haszprunar1996,neomorphic,Adult,Cuticle
208,Cuticle,Composition,1=chitinous; 2=collagen,Character 2 in @Haszprunar2008,transformational,Adult,Cuticle
209,Cuticle,Fibrous layer with thick fibrils,0=absent; 1=present,After @Borisanova2015,neomorphic,Adult,Cuticle
210,Cuticle,Homogeneous layer,0=absent; 1=present,After @Borisanova2015,neomorphic,Adult,Cuticle
211,Cuticle,Resilience,1=labile; 2=robust,Character 1 in @Haszprunar2000.,transformational,Adult,Cuticle
212,Cuticle,Microvilli  ,0=absent; 1=microvilli present in the cuticle,After @Borisanova2015,neomorphic,Adult,Cuticle
213,Muscles,Cytology,"1=smooth; 2=obliquely striated; 3=smooth on abfrontal face, striated on frontal face",Character 19 in @Haszprunar1996; see also character 13 in @Haszprunar2000,transformational,Adult,Body.organization
214,Muscles,Histology,1=fibre-type; 1=epithelially organized,See character 18 in @Haszprunar1996,transformational,Adult,Body.organization
215,Glands,Pedal gland,0=absent; 1=present,"Characters 1.13, 1.40 & 2.08 in @Scheltema1993; 114 in @Giribet2002; 1.53 in @SPS1996; 9 in @Haszprunar1996",neomorphic,Adult,Pedicle
216,Glands,Paired pharyngeal diverticulae,0=absent; 1=present,,neomorphic,Adult,Feeding.and.Digestion
217,Nervous system,Orthogonal,0=not orthogonal; 1=orthogonal,Character 14 in @Haszprunar1996. Paired longitudinal nerve cords regularly interconnected by transversal commissures to form a rectangular pattern.,neomorphic,Adult,Sensory
218,Nervous system,Glial system,0=absent; 1=present,Character 16 in @Haszprunar1996.  The Gliointerstitial system interconnects the nervous and muscle systems.,neomorphic,Adult,Sensory
219,Nervous system,Buccal nerve ring,0=absent; 1=present,Character 7b in @Haszprunar2008,neomorphic,Adult,Sensory
220,Nervous system,Anterior nerve loop,0=absent; 1=present,"Character 7c in @Haszprunar2008.  A pre-oral nerve loop is present in molluscs, Loxosomella and certain annelids [@Wanninger2007].",neomorphic,Adult,Sensory
221,Nervous system,Formation of ganglia,1=from cerebral region; 2=in situ; 3=invagination of epithelium,Character 1.22 in @SPS1996,transformational,Adult,Sensory
222,Nervous system,Cerebral ganglia: Presence,0=absent; 1=present,After character 13 in @Haszprunar1996.,neomorphic,Adult,Sensory
223,Nervous system,Cerebral ganglia: Fused,"1=pair of distinct ganglia; 2=single ganglion, or fused ganglia",After character 13 in @Haszprunar1996.,transformational,Adult,Sensory
224,Nervous system,Nerve cords,1=Ventral nerve cords only; 2=Tetraneury: one pair of ventral and one pair of lateral nerve cords,See character 7 in @Haszprunar2008.,transformational,Adult,Sensory
225,Nervous system,Ventral longitudinal nerves,0=separate; 1=paired or secondarily fused,Character 80 in @Glenner2004; see also character 6 in @Vinther2008.,neomorphic,Adult,Sensory
